"Geographical Location","Report Date","MDS Item Question/Description","MDS Item Response",Percent,"Total Residents"
Alabama,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,73.03,8435
Alabama,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,0.35,40
Alabama,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,0.17,20
Alabama,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,0.26,30
Alabama,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,0.35,40
Alabama,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,0.72,83
Alabama,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,1.71,198
Alabama,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,23.41,2704
Alaska,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,80.59,303
Alaska,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,*,*
Alaska,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,*,*
Alaska,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,*,*
Alaska,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,*,*
Alaska,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,*,*
Alaska,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,*,*
Alaska,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,16.76,63
Arizona,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,77.84,2951
Arizona,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,0.47,18
Arizona,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,*,*
Arizona,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,*,*
Arizona,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,*,*
Arizona,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,*,*
Arizona,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,1.24,47
Arizona,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,19.68,746
Arkansas,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,82.5,6835
Arkansas,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,0.18,15
Arkansas,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,0.14,12
Arkansas,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,0.31,26
Arkansas,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,0.37,31
Arkansas,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,0.33,27
Arkansas,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,0.77,64
Arkansas,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,15.39,1275
California,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,75.66,33388
California,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,0.32,140
California,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,0.18,80
California,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,0.35,154
California,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,0.42,187
California,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,0.58,254
California,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,1.21,535
California,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,21.28,9392
Colorado,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,75.25,5057
Colorado,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,0.27,18
Colorado,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,*,*
Colorado,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,0.25,17
Colorado,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,0.31,21
Colorado,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,0.55,37
Colorado,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,1.06,71
Colorado,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,22.17,1490
Connecticut,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,72.52,7135
Connecticut,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,0.24,24
Connecticut,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,0.12,12
Connecticut,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,0.17,17
Connecticut,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,0.29,29
Connecticut,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,0.3,30
Connecticut,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,1,98
Connecticut,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,25.34,2493
Delaware,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",0,84.66,1634
Delaware,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",1,*,*
Delaware,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",2,*,*
Delaware,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",3,*,*
Delaware,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",4,*,*
Delaware,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",5,*,*
Delaware,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",6,0.98,19
Delaware,"Q3, 2024","N0410A: Medications - Medications Received - Antipsychotic - Number of Days",7,13.58,262
